Filename                                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
libs/core/include/sen/core/meta/var.h                                     25                 0   100.00%          15                 0   100.00%          52                 0   100.00%           4                 0   100.00%
libs/core/include/sen/core/meta/variant_traits.h                          33                10    69.70%           7                 1    85.71%          72                21    70.83%          20                10    50.00%
libs/core/include/sen/core/meta/variant_type.h                            29                 0   100.00%           6                 0   100.00%          23                 0   100.00%          19                 1    94.74%
libs/core/include/sen/core/obj/callback.h                                 23                 3    86.96%          11                 1    90.91%          21                 1    95.24%          10                 0   100.00%
libs/core/include/sen/core/obj/detail/event_buffer.h                      34                 3    91.18%          19                 2    89.47%         124                74    40.32%          10                 3    70.00%
libs/core/include/sen/core/obj/detail/gen.h                               13                 6    53.85%          13                 6    53.85%          19                 8    57.89%           0                 0         -
libs/core/include/sen/core/obj/detail/native_object_impl.h                20                 9    55.00%          12                 6    50.00%          76                48    36.84%           8                 4    50.00%
libs/core/include/sen/core/obj/detail/native_object_proxy.h                1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/core/include/sen/core/obj/detail/property_flags.h                    43                18    58.14%           9                 2    77.78%          72                40    44.44%          22                10    54.55%
libs/core/include/sen/core/obj/detail/proxy_object.h                       4                 0   100.00%           4                 0   100.00%           4                 0   100.00%           0                 0         -
libs/core/include/sen/core/obj/detail/remote_object.h                     89                41    53.93%          16                 6    62.50%         241               134    44.40%          52                22    57.69%
libs/core/include/sen/core/obj/interest.h                                  1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/core/include/sen/core/obj/native_object.h                            36                18    50.00%          19                 6    68.42%         135                68    49.63%          12                10    16.67%
libs/core/include/sen/core/obj/object.h                                    6                 0   100.00%           6                 0   100.00%           6                 0   100.00%           0                 0         -
libs/core/include/sen/core/obj/object_filter.h                             3                 1    66.67%           3                 1    66.67%           3                 1    66.67%           0                 0         -
libs/core/include/sen/core/obj/object_list.h                              42                 2    95.24%          14                 0   100.00%          99                12    87.88%          26                 3    88.46%
